P W
16 0
32 0
48 0
64 0
80 0
96 0
112 0
128 0
144 0
160 0
176 0
192 0
208 0
224 0
240 0
256 0
272 0
288 0
304 0
320 0
336 0
352 0
368 0
384 0
400 0
416 0
432 0
448 0
464 0
480 0
496 0
512 0
528 0
544 0
560 0
576 0
592 0
608 0
624 0
640 0
656 0
672 0
688 0
704 0
720 0
736 0
752 0
768 0
784 0
800 0
816 0.569524
832 0.571686
848 0.573761
864 0.575752
880 0.57766
896 0.579487
912 0.581234
928 0.582904
944 0.584498
960 0.586018
976 0.587465
992 0.588842
1008 0.59015
1024 0.59139
1040 0.592566
1056 0.593678
1072 0.594728
1088 0.595718
1104 0.59665
1120 0.597525
1136 0.598346
1152 0.599114
1168 0.599831
1184 0.600498
1200 0.601117
1216 0.601691
1232 0.60222
1248 0.602708
1264 0.603154
1280 0.603562
1296 0.603932
1312 0.604268
1328 0.60457
1344 0.60484
1360 0.60508
1376 0.605291
1392 0.605477
1408 0.605637
1424 0.605775
1440 0.605892
1456 0.605989
1472 0.606068
1488 0.606132
1504 0.606181
1520 0.606218
1536 0.606245
1552 0.606262
1568 0.606273
1584 0.606278
1600 0.60628
1616 0.60628
1632 0.60628
1648 0.60628
1664 0.60628
1680 0.60628
1696 0.60628
1712 0.60628
1728 0.60628
1744 0.60628
1760 0.60628
1776 0.60628
1792 0.60628
1808 0.60628
1824 0.60628
1840 0.60628
1856 0.60628
1872 0.60628
1888 0.60628
1904 0.60628
1920 0.60628
1936 0.60628
1952 0.60628
1968 0.60628
1984 0.60628
2000 0.60628
2016 0.60628
2032 0.60628
2048 0.60628
2064 0.60628
2080 0.60628
2096 0.60628
2112 0.60628
2128 0.60628
2144 0.60628
2160 0.60628
2176 0.60628
2192 0.60628
2208 0.60628
2224 0.60628
2240 0.60628
2256 0.60628
2272 0.60628
2288 0.60628
2304 0.60628
2320 0.60628
2336 0.60628
2352 0.60628
2368 0.60628
2384 0.60628
2400 0.60628
2416 0.60628
2432 0.60628
2448 0.60628
2464 0.60628
2480 0.60628
2496 0.60628
2512 0.60628
2528 0.606282
2544 0.606287
2560 0.606298
2576 0.606315
2592 0.606342
2608 0.606379
2624 0.606428
2640 0.606492
2656 0.606571
2672 0.606668
2688 0.606785
2704 0.606922
2720 0.607083
2736 0.607268
2752 0.60748
2768 0.60772
2784 0.607988
2800 0.608285
2816 0.60861
2832 0.608963
2848 0.609344
2864 0.609753
2880 0.610191
2896 0.610657
2912 0.611151
2928 0.611674
2944 0.612224
2960 0.612803
2976 0.613411
2992 0.614046
3008 0.61471
3024 0.615401
3040 0.616122
3056 0.61687
3072 0.617647
3088 0.618451
3104 0.619284
3120 0.620146
3136 0.621035
3152 0.621953
3168 0.622899
3184 0.623873
3200 0.624876
3216 0.625907
3232 0.626966
3248 0.628053
3264 0.629169
3280 0.630312
3296 0.631482
3312 0.632677
3328 0.633895
3344 0.635134
3360 0.636393
3376 0.637669
3392 0.638961
3408 0.640267
3424 0.641585
3440 0.642914
3456 0.644252
3472 0.645597
3488 0.646948
3504 0.648301
3520 0.649657
3536 0.651012
3552 0.652368
3568 0.653723
3584 0.655079
3600 0.656434
3616 0.65779
3632 0.659145
3648 0.660501
3664 0.661856
3680 0.663212
3696 0.664567
3712 0.665923
3728 0.667279
3744 0.668634
3760 0.66999
3776 0.671345
3792 0.672701
3808 0.674058
3824 0.675419
3840 0.676785
3856 0.678158
3872 0.67954
3888 0.680933
3904 0.682338
3920 0.683757
3936 0.685192
3952 0.686644
3968 0.688116
3984 0.689609
4000 0.691126
4016 0.692666
4032 0.694234
4048 0.695829
4064 0.697457
4080 0.699119
4096 0.700821
4112 0.518721
4128 0.518721
4144 0.518721
4160 0.518721
4176 0.518721
4192 0.518721
4208 0.518721
4224 0.518721
4240 0.518721
4256 0.518721
4272 0.518721
4288 0.518721
4304 0.518721
4320 0.518721
4336 0.518721
4352 0.518721
4368 0.733516
4384 0.735817
4400 0.738204
4416 0.740675
4432 0.74323
4448 0.745871
4464 0.748596
4480 0.751406
4496 0.7543
4512 0.75728
4528 0.760344
4544 0.763493
4560 0.766726
4576 0.770044
4592 0.773447
4608 0.776935
4624 0.780507
4640 0.784164
4656 0.787906
4672 0.791733
4688 0.795644
4704 0.79964
4720 0.803722
4736 0.807893
4752 0.812154
4768 0.816506
4784 0.820952
4800 0.825494
4816 0.830132
4832 0.834866
4848 0.839693
4864 0.844612
4880 0.849621
4896 0.854719
4912 0.859903
4928 0.865171
4944 0.870523
4960 0.875955
4976 0.881467
4992 0.887057
5008 0.892723
5024 0.898463
5040 0.904275
5056 0.910158
5072 0.916109
5088 0.922128
5104 0.928212
5120 0.934359
5136 0.518721
5152 0.518721
5168 0.518721
5184 0.518721
5200 0.518721
5216 0.518721
5232 0.518721
5248 0.518721
5264 0.518721
5280 0.518721
5296 0.518721
5312 0.518721
5328 0.518721
5344 0.518721
5360 0.518721
5376 0.518721
5392 0.518721
5408 0.518721
5424 0.518721
5440 0.518721
5456 0.518721
5472 0.518721
5488 0.518721
5504 0.518721
5520 0.518721
5536 0.518721
5552 0.518721
5568 0.518721
5584 0.518721
5600 0.518721
5616 0.518721
5632 0.518721
5648 0.518721
5664 0.518721
5680 0.518721
5696 0.518721
5712 0.518721
5728 0.518721
5744 0.518721
5760 0.518721
5776 0.518721
5792 0.518721
5808 0.518721
5824 0.518721
5840 0.518721
5856 0.51872
5872 0.518714
5888 0.518704
5904 0.518686
5920 0.51866
5936 0.518623
5952 0.518573
5968 0.51851
5984 0.51843
6000 0.518333
6016 0.518217
6032 0.518079
6048 0.517918
