P W
0 0
16 0
32 0
48 0
64 -0.00107944
80 -0.000331074
96 -2.79546e-05
112 0
128 0
144 0
160 -2.95043e-06
176 -0.000205964
192 -0.000649512
208 -0.00109839
224 -0.00134724
240 -0.00135845
256 0.0137529
272 -0.0178996
288 -0.00310642
304 -0.00449818
320 0.0293167
336 0
352 -2.6226e-06
368 -0.000127822
384 -0.000130147
400 -0.0329593
416 0.00689626
432 0.0122061
448 0.00951269
464 0.00104433
480 0.0132998
496 -0.00589222
512 -0.000559926
528 -3.8296e-05
544 5.00083e-05
560 -6.91414e-05
576 0.00822112
592 0.00326233
608 0.00298744
624 -0.000931919
640 0.0116395
656 -0.0027543
672 -0.00818619
688 -0.000252366
704 0.00931185
720 0.00431687
736 0.000764638
752 -0.00124192
768 0.0119031
784 0.000405982
800 -0.00354768
816 -0.00840789
832 0.000258207
848 -6.32405e-05
864 0.00912479
880 0.00416894
896 0.000215352
912 0.000764638
928 -0.00124487
944 0.0117612
960 -0.000243545
976 -0.00464903
992 -0.0099552
1008 -0.00140679
1024 0.0103935
1040 -0.0108362
1056 0.0030368
1072 0.00399628
1088 0.00454664
1104 0.0158926
1120 0.00586929
1136 -0.0115237
1152 -0.00396478
1168 -0.00371063
1184 -0.00390536
1200 -0.00435555
1216 -0.00499076
1232 0.0228595
1248 0
1264 0
1280 -0.0214725
1296 0.00253552
1312 0.00353867
1328 0.00408906
1344 0.00423637
1360 0.0046311
1376 0.0061295
1392 0.00798165
1408 -0.0280245
1424 -0.0106362
1440 -0.00602281
1456 0.018483
1472 -0.0033901
1488 -0.00157958
1504 0.0117334
1520 -0.0347539
1536 0.00525439
1552 0.00372744
1568 0.0017482
1584 -0.000172675
1600 0.0198539
1616 0
1632 -0.021672
1648 0.00150824
1664 0.000912786
1680 -0.000175059
1696 0.0185925
1712 -0.022806
1728 -0.00214213
1744 0.026295
1760 -0.0276462
1776 0.00170195
1792 0.0247995
1808 -0.0188597
1824 0.00211799
1840 0.00117224
1856 -4.26769e-05
1872 -0.00104785
1888 0.0157616
1904 -0.021857
1920 -0.00374568
1936 0.0168995
1952 0.00121486
1968 0.000957251
1984 -0.0214101
2000 0.00254601
2016 -0.0010367
2032 -0.00459868
2048 0.0176172
2064 0.0165473
2080 -0.00033316
2096 -0.0180144
2112 -0.0223901
2128 0.00751638
2144 0.0126604
2160 0.00777221
2176 0.00507736
2192 0.00606866
2208 0.00850189
2224 0.00477082
2240 -0.00809392
2256 0.00920945
2272 0.0163485
2288 0.019981
2304 0.0221572
2320 -3.76701e-05
2336 4.70877e-05
2352 -0.000275075
2368 0.00648639
2384 0.0025456
2400 0.0017997
2416 0.0053345
2432 -3.38554e-05
2448 0.0096795
2464 -0.00350403
2480 -0.00861718
2496 0.00959182
2512 0.0169034
2528 -0.0033423
2544 0.00298882
2560 0.00214672
2576 0.00107458
2592 -3.71635e-05
2608 -0.0017066
2624 -0.00142369
2640 0.0121998
2656 -0.00929189
2672 -0.00500804
2688 0.0237374
2704 -0.000217825
2720 0.000177264
2736 7.05421e-05
2752 -0.0272197
2768 0.00498211
2784 0.00400662
2800 0.00254148
2816 0.00121617
2832 0.00028491
2848 0.00580955
2864 0.00518146
2880 -0.00385785
2896 -0.00296357
2912 0.00512439
2928 0.0033038
2944 0.000681251
2960 0.00019145
2976 0.000840992
2992 0.00208926
3008 0.00589538
3024 0.00117788
3040 0.0136818
3056 0.00490938
3072 0.00375824
3088 0.00208594
3104 -0.00015885
3120 -0.00333532
3136 -0.0076277
3152 -0.000451848
3168 -0.0006354
3184 0
3200 0
3216 0
3232 0
3248 0
3264 0
3280 0
3296 0
3312 0
3328 0
3344 0
3360 0
3376 0
