P W
16 0
32 0
48 0
64 0
80 0
96 0
112 0
128 0
144 0
160 0
176 0
192 0
208 0
224 0
240 0
256 0
272 0
288 0
304 0
320 0
336 0
352 0
368 0
384 0
400 0
416 0
432 0
448 0
464 0
480 0
496 0
512 0
528 0
544 0
560 0
576 0
592 0
608 0
624 0
640 0
656 0
672 0
688 0
704 0
720 0
736 0
752 0
768 0
784 0
800 0
816 0.0841343
832 0.0845115
848 0.0848732
864 0.0852198
880 0.0855515
896 0.0858687
912 0.0861718
928 0.086461
944 0.0867367
960 0.0869992
976 0.0872489
992 0.087486
1008 0.087711
1024 0.0879241
1040 0.0881256
1056 0.088316
1072 0.0884954
1088 0.0886643
1104 0.0888231
1120 0.0889719
1136 0.0891112
1152 0.0892412
1168 0.0893623
1184 0.0894749
1200 0.0895792
1216 0.0896757
1232 0.0897645
1248 0.0898461
1264 0.0899208
1280 0.0899889
1296 0.0900507
1312 0.0901065
1328 0.0901568
1344 0.0902018
1360 0.0902419
1376 0.0902774
1392 0.0903085
1408 0.0903358
1424 0.0903593
1440 0.0903796
1456 0.0903969
1472 0.0904114
1488 0.0904236
1504 0.0904337
1520 0.0904419
1536 0.0904485
1552 0.0904537
1568 0.0904578
1584 0.0904609
1600 0.0904632
1616 0.0904649
1632 0.0904662
1648 0.090467
1664 0.0904676
1680 0.0904679
1696 0.0904682
1712 0.0904683
1728 0.0904683
1744 0.0904684
1760 0.0904684
1776 0.0904684
1792 0.0904684
1808 0.0904684
1824 0.0904684
1840 0.0904684
1856 0.0904684
1872 0.0904684
1888 0.0904684
1904 0.0904684
1920 0.0904684
1936 0.0904684
1952 0.0904684
1968 0.0904684
1984 0.0904684
2000 0.0904684
2016 0.0904684
2032 0.0904684
2048 0.0904684
2064 0.0904684
2080 0.0904684
2096 0.0904684
2112 0.0904684
2128 0.0904684
2144 0.0904684
2160 0.0904684
2176 0.0904684
2192 0.0904684
2208 0.0904684
2224 0.0904684
2240 0.0904684
2256 0.0904684
2272 0.0904684
2288 0.0904684
2304 0.0904684
2320 0.0904684
2336 0.0904684
2352 0.0904684
2368 0.0904684
2384 0.0904684
2400 0.0904684
2416 0.0904684
2432 0.0904684
2448 0.0904684
2464 0.0904684
2480 0.0904684
2496 0.0904684
2512 0.0904684
2528 0.0904684
2544 0.0904685
2560 0.0904688
2576 0.0904693
2592 0.0904703
2608 0.0904718
2624 0.0904741
2640 0.0904774
2656 0.090482
2672 0.090488
2688 0.0904959
2704 0.0905059
2720 0.0905183
2736 0.0905336
2752 0.090552
2768 0.0905739
2784 0.0905995
2800 0.0906292
2816 0.0906631
2832 0.0907015
2848 0.0907447
2864 0.0907927
2880 0.0908457
2896 0.0909038
2912 0.0909671
2928 0.0910357
2944 0.0911095
2960 0.0911886
2976 0.0912729
2992 0.0913626
3008 0.0914575
3024 0.0915577
3040 0.0916631
3056 0.0917739
3072 0.0918899
3088 0.0920111
3104 0.0921377
3120 0.0922695
3136 0.0924066
3152 0.092549
3168 0.0926966
3184 0.0928495
3200 0.0930077
3216 0.0931712
3232 0.0933399
3248 0.0935139
3264 0.0936932
3280 0.0938778
3296 0.0940676
3312 0.0942625
3328 0.0944626
3344 0.0946677
3360 0.0948777
3376 0.0950923
3392 0.0953115
3408 0.0955349
3424 0.0957624
3440 0.0959937
3456 0.0962283
3472 0.0964662
3488 0.0967068
3504 0.0969499
3520 0.0971952
3536 0.0974422
3552 0.0976908
3568 0.0979406
3584 0.0981914
3600 0.0984429
3616 0.0986951
3632 0.0989476
3648 0.0992005
3664 0.0994535
3680 0.0997065
3696 0.0999596
3712 0.100213
3728 0.100466
3744 0.100719
3760 0.100972
3776 0.101225
3792 0.101478
3808 0.101731
3824 0.101985
3840 0.102238
3856 0.102492
3872 0.102746
3888 0.103
3904 0.103256
3920 0.103512
3936 0.10377
3952 0.104029
3968 0.10429
3984 0.104553
4000 0.104818
4016 0.105087
4032 0.105358
4048 0.105633
4064 0.105912
4080 0.106195
4096 0.106483
4112 0.103915
4128 0.101325
4144 0.0987117
4160 0.0960759
4176 0.093417
4192 0.0907344
4208 0.0880278
4224 0.0852969
4240 0.0825412
4256 0.0797601
4272 0.0769531
4288 0.0741197
4304 0.0741197
4320 0.0741197
4336 0.0741197
4352 0.0741197
4368 0.0774619
4384 0.0808398
4400 0.0842549
4416 0.0877085
4432 0.0912017
4448 0.0947361
4464 0.0983129
4480 0.101933
4496 0.105599
4512 0.109311
4528 0.113071
4544 0.116879
4560 0.117396
4576 0.117928
4592 0.118477
4608 0.119041
4624 0.119621
4640 0.120217
4656 0.120829
4672 0.121456
4688 0.122099
4704 0.122758
4720 0.123433
4736 0.124124
4752 0.124831
4768 0.125554
4784 0.126293
4800 0.127049
4816 0.127821
4832 0.12861
4848 0.129416
4864 0.130238
4880 0.131078
4896 0.131935
4912 0.132809
4928 0.133701
4944 0.134609
4960 0.135534
4976 0.136475
4992 0.137433
5008 0.138407
5024 0.139397
5040 0.140402
5056 0.141422
5072 0.142456
5088 0.143505
5104 0.144568
5120 0.145644
5136 0.14017
5152 0.134612
5168 0.128968
5184 0.123237
5200 0.117417
5216 0.111508
5232 0.105509
5248 0.0994187
5264 0.0932354
5280 0.0869585
5296 0.0805869
5312 0.0741197
5328 0.0741197
5344 0.0741197
5360 0.0741197
5376 0.0741197
5392 0.0741197
5408 0.0741197
5424 0.0741197
5440 0.0741197
5456 0.0741197
5472 0.0741197
5488 0.0741197
5504 0.0741197
5520 0.0741197
5536 0.0679431
5552 0.0617664
5568 0.0555898
5584 0.0494131
5600 0.0432365
5616 0.0370599
