P W
16 0
32 0
48 0
64 0
80 0
96 0
112 0
128 0
144 0
160 0
176 0
192 0
208 0
224 0
240 0
256 0
272 0
288 0
304 0
320 0
336 0
352 0
368 0
384 0
400 0
416 0
432 0
448 0
464 0
480 0
496 0
512 0
528 0
544 0
560 0
576 0
592 0
608 0
624 0
640 0
656 0
672 0
688 0
704 0
720 0
736 0
752 0
768 0
784 0
800 0
816 0.158391
832 0.158391
848 0.158391
864 0.158391
880 0.158391
896 0.158391
912 0.158391
928 0.158391
944 0.158391
960 0.158391
976 0.158391
992 0.158391
1008 0.158391
1024 0.158391
1040 0.158391
1056 0.158391
1072 0.158391
1088 0.158391
1104 0.158391
1120 0.158391
1136 0.158391
1152 0.158391
1168 0.158391
1184 0.158391
1200 0.158391
1216 0.158391
1232 0.158391
1248 0.158391
1264 0.158391
1280 0.158391
1296 0.158391
1312 0.158391
1328 0.158391
1344 0.158391
1360 0.158391
1376 0.158391
1392 0.158391
1408 0.158391
1424 0.158391
1440 0.158391
1456 0.158391
1472 0.158391
1488 0.158391
1504 0.158391
1520 0.158391
1536 0.158391
1552 0.158391
1568 0.158391
1584 0.158391
1600 0.158391
1616 0.158391
1632 0.158391
1648 0.158391
1664 0.158391
1680 0.158391
1696 0.158391
1712 0.158391
1728 0.158391
1744 0.158391
1760 0.158391
1776 0.158391
1792 0.158391
1808 0.158391
1824 0.158391
1840 0.158391
1856 0.158391
1872 0.158391
1888 0.158391
1904 0.158391
1920 0.158391
1936 0.158391
1952 0.158391
1968 0.158391
1984 0.158391
2000 0.158391
2016 0.158391
2032 0.158391
2048 0.158391
2064 0.158391
2080 0.158391
2096 0.158391
2112 0.158391
2128 0.158391
2144 0.158391
2160 0.158391
2176 0.158391
2192 0.158391
2208 0.158391
2224 0.158391
2240 0.158391
2256 0.158391
2272 0.158391
2288 0.158391
2304 0.158391
2320 0.158391
2336 0.158391
2352 0.158391
2368 0.158391
2384 0.158391
2400 0.158391
2416 0.158391
2432 0.158391
2448 0.158391
2464 0.158391
2480 0.158391
2496 0.158391
2512 0.158391
2528 0.158391
2544 0.158391
2560 0.158391
2576 0.158391
2592 0.158391
2608 0.158391
2624 0.158391
2640 0.158391
2656 0.158391
2672 0.158391
2688 0.158391
2704 0.158391
2720 0.158391
2736 0.158391
2752 0.158391
2768 0.158391
2784 0.158391
2800 0.158391
2816 0.158391
2832 0.158391
2848 0.158391
2864 0.158391
2880 0.158391
2896 0.158391
2912 0.158391
2928 0.158391
2944 0.158391
2960 0.158391
2976 0.158391
2992 0.158391
3008 0.158391
3024 0.158391
3040 0.158391
3056 0.158391
3072 0.158391
3088 0.158391
3104 0.158391
3120 0.158391
3136 0.158391
3152 0.158391
3168 0.158391
3184 0.158391
3200 0.158391
3216 0.158391
3232 0.158391
3248 0.158391
3264 0.158391
3280 0.158391
3296 0.158391
3312 0.158391
3328 0.158391
3344 0.158391
3360 0.158391
3376 0.158391
3392 0.158391
3408 0.158391
3424 0.158391
3440 0.158391
3456 0.158391
3472 0.158391
3488 0.158391
3504 0.158391
3520 0.158391
3536 0.158391
3552 0.158391
3568 0.158391
3584 0.158391
3600 0.158391
3616 0.158391
3632 0.158391
3648 0.158391
3664 0.158391
3680 0.158391
3696 0.158391
3712 0.158391
3728 0.158391
3744 0.158391
3760 0.158391
3776 0.158391
3792 0.158391
3808 0.158391
3824 0.158391
3840 0.158391
3856 0.158391
3872 0.158391
3888 0.158391
3904 0.158391
3920 0.158391
3936 0.158391
3952 0.158391
3968 0.158391
3984 0.158391
4000 0.158391
4016 0.158391
4032 0.158391
4048 0.158391
4064 0.158391
4080 0.158391
4096 0.158391
4112 0.158391
4128 0.158391
4144 0.158391
4160 0.158391
4176 0.158391
4192 0.158391
4208 0.158391
4224 0.158391
4240 0.158391
4256 0.158391
4272 0.158391
4288 0.158391
4304 0.158391
4320 0.158391
4336 0.158391
4352 0.158391
4368 0.158391
4384 0.158391
4400 0.158391
4416 0.158391
4432 0.158391
4448 0.158391
4464 0.158391
4480 0.158391
4496 0.158391
4512 0.158391
4528 0.158391
4544 0.158391
4560 0.158391
4576 0.158391
4592 0.158391
4608 0.158391
4624 0.158391
4640 0.158391
4656 0.158391
4672 0.158391
4688 0.158391
4704 0.158391
4720 0.158391
4736 0.158391
4752 0.158391
4768 0.158391
4784 0.158391
4800 0.158391
4816 0.158391
4832 0.158391
4848 0.158391
4864 0.158391
4880 0.158391
4896 0.158391
4912 0.158391
4928 0.158391
4944 0.158391
4960 0.158391
4976 0.158391
4992 0.158391
5008 0.158391
5024 0.158391
5040 0.158391
5056 0.158391
5072 0.158391
5088 0.158391
5104 0.158391
5120 0.158391
5136 0.158391
5152 0.158391
5168 0.158391
5184 0.158391
5200 0.158391
5216 0.158391
5232 0.158391
5248 0.158391
5264 0.158391
5280 0.158391
5296 0.158391
5312 0.158391
5328 0.158391
5344 0.158391
5360 0.158391
5376 0.158391
5392 0.158391
5408 0.158391
5424 0.158391
5440 0.158391
5456 0.158391
5472 0.158391
5488 0.158391
5504 0.158391
5520 0.158391
5536 0.145191
5552 0.131992
5568 0.118793
5584 0.105594
5600 0.0923945
5616 0.0791953
5632 0.0659961
5648 0.0527969
5664 0.0395977
5680 0.0263984
5696 0.0131992
5712 0
5728 0
5744 0
5760 0
5776 0
5792 0
5808 0
5824 0
5840 0
5856 0
5872 0
5888 0
5904 0
5920 0
5936 0
5952 0
5968 0
5984 0
6000 0
6016 0
6032 0
6048 0
6064 0
6080 0
6096 0
6112 0
6128 0
6144 0
6160 0
6176 0
6192 0
6208 0
6224 0
6240 0
