P W
0 0
16 0
32 0
48 0
64 0.874764
80 0.893872
96 0.897873
112 0.898019
128 0.898019
144 0.898019
160 0.898028
176 0.900333
192 0.913333
208 0.554816
224 0.337208
240 0.234132
256 0.200814
272 0.250345
288 0.133165
304 0.191669
320 0.524657
336 0.723956
352 0.816449
368 0.593839
384 0.799946
400 0.629609
416 0.245411
432 0.280177
448 0.374905
464 0.533915
480 0.47166
496 0.663528
512 0.916507
528 0.924012
544 0.922673
560 0.923362
576 0.599903
592 0.43714
608 0.348076
624 0.417715
640 0.286149
656 0.0934792
672 0.008102
688 2.22857e-05
704 0.00989113
720 0.0985281
736 0.299881
752 0.39049
768 0.352747
784 0.375542
800 0.423564
816 0.603076
832 0.915485
848 0.912198
864 0.561961
880 0.37239
896 0.313271
912 0.299881
928 0.390499
944 0.181514
960 0.0416415
976 0.00115678
992 0.00826209
1008 0.0618763
1024 0.168466
1040 0.0233993
1056 0.300955
1072 0.410149
1088 0.553606
1104 0.569079
1120 0.181243
1136 0.394607
1152 0.666162
1168 0.77862
1184 0.549345
1200 0.396384
1216 0.372603
1232 0.420926
1248 0.48728
1264 0.496921
1280 0.390036
1296 0.571541
1312 0.70852
1328 0.797063
1344 0.836529
1360 0.827422
1376 0.770418
1392 0.670564
1408 0.465956
1424 0.156838
1440 0.169039
1456 0.430892
1472 0.553608
1488 0.613766
1504 0.591047
1520 0.455653
1536 0.379355
1552 0.229706
1568 0.167846
1584 0.258585
1600 0.313406
1616 0.391992
1632 0.377458
1648 0.288367
1664 0.231733
1680 0.228129
1696 0.284989
1712 0.27806
1728 0.211125
1744 0.162156
1760 0.0260208
1776 0.252496
1792 0.319507
1808 0.341391
1824 0.228288
1840 0.160517
1856 0.142518
1872 0.174755
1888 0.255302
1904 0.342764
1920 0.33663
1936 0.331985
1952 0.468639
1968 0.502214
1984 0.437718
2000 0.161169
2016 0.082819
2032 0.229831
2048 0.38331
2064 0.534499
2080 0.609765
2096 0.590901
2112 0.455653
2128 0.379314
2144 0.224865
2160 0.218121
2176 0.377258
2192 0.405642
2208 0.364217
2224 0.158101
2240 0.304907
2256 0.392596
2272 0.53289
2288 0.626202
2304 0.748686
2320 0.998337
2336 0.997007
2352 1
2368 0.772664
2384 0.643711
2400 0.584922
2416 0.483066
2432 0.523268
2448 0.372781
2464 0.210868
2480 0.380983
2496 0.403258
2512 0.540019
2528 0.638181
2544 0.548652
2560 0.464183
2576 0.41473
2592 0.400621
2608 0.424432
2624 0.480297
2640 0.511121
2656 0.533242
2672 0.432823
2688 0.393957
2704 0.560251
2720 0.639118
2736 0.620524
2752 0.484172
2768 0.47094
2784 0.389433
2800 0.288251
2816 0.241331
2832 0.249755
2848 0.300446
2864 0.39331
2880 0.517925
2896 0.624564
2912 0.720391
2928 0.704483
2944 0.64593
2960 0.639469
2976 0.624155
2992 0.581445
3008 0.46395
3024 0.469175
3040 0.373954
3056 0.314906
3072 0.186975
3088 0.100224
3104 0.072229
3120 0.123368
3136 0.29228
3152 0.411237
3168 0.424977
3184 0
3200 0
3216 0
3232 0
3248 0
3264 0
3280 0
3296 0
3312 0
3328 0
3344 0
3360 0
3376 0
