P W
16 0
32 0
48 0
64 0
80 0
96 0
112 0
128 0
144 0
160 0
176 0
192 0
208 0
224 0
240 0
256 0
272 0
288 0
304 0
320 0
336 0
352 0
368 0
384 0
400 0
416 0
432 0
448 0
464 0
480 0
496 0
512 0
528 0
544 0
560 0
576 0
592 0
608 0
624 0
640 0
656 0
672 0
688 0
704 0
720 0
736 0
752 0
768 0
784 0
800 0
816 0
832 -0.0021621
848 -0.00207567
864 -0.00199091
880 -0.001908
896 -0.00182676
912 -0.00174737
928 -0.0016697
944 -0.00159377
960 -0.00151968
976 -0.00144732
992 -0.00137669
1008 -0.0013079
1024 -0.00124079
1040 -0.00117546
1056 -0.00111198
1072 -0.00105017
1088 -0.000990152
1104 -0.000931919
1120 -0.000875473
1136 -0.000820696
1152 -0.000767767
1168 -0.000716627
1184 -0.000667155
1200 -0.000619531
1216 -0.000573635
1232 -0.000529468
1248 -0.000487149
1264 -0.000446558
1280 -0.000407696
1296 -0.000370681
1312 -0.000335336
1328 -0.000301838
1344 -0.000270009
1360 -0.000240088
1376 -0.000211775
1392 -0.000185311
1408 -0.000160635
1424 -0.000137687
1440 -0.000116467
1456 -9.7096e-05
1472 -7.93934e-05
1488 -6.35386e-05
1504 -4.94123e-05
1520 0.0177647
1536 0.0174471
1552 0.0171188
1568 0.0167799
1584 0.0164375
1600 0.0160986
1616 0.0157633
1632 0.0154315
1648 0.0151032
1664 0.0147784
1680 0.0144572
1696 0.0141395
1712 0.0138253
1728 0.0135147
1744 0.0132075
1760 0.012904
1776 0.0126039
1792 0.0123074
1808 0.0120144
1824 0.0117249
1840 0.011439
1856 0.0111566
1872 0.0108777
1888 0.0106024
1904 0.0103306
1920 0.0100623
1936 0.00979754
1952 0.00953634
1968 0.00927864
1984 0.00902447
2000 0.00877385
2016 0.00852676
2032 0.00828318
2048 0.00804313
2064 0.00780663
2080 0.00757365
2096 0.00734419
2112 0.00711828
2128 0.00689587
2144 0.00667703
2160 0.00646168
2176 0.0062499
2192 0.00604162
2208 0.00583688
2224 0.00563566
2240 0.00543799
2256 0.00524384
2272 0.00505321
2288 0.00486612
2304 0.00468256
2320 0.00450253
2336 0.00432603
2352 0.00415307
2368 0.00398362
2384 0.00381771
2400 0.00365533
2416 0.00349648
2432 0.00334116
2448 0.00318937
2464 0.00304111
2480 0.00289638
2496 0.00275518
2512 0.0026175
2528 0.0024816
2544 0.00235275
2560 0.00222567
2576 0.00210212
2592 0.0019821
2608 0.00186561
2624 0.00175265
2640 0.00164322
2656 0.00153732
2672 0.00143495
2688 0.00133611
2704 0.0012408
2720 0.00114902
2736 0.00106077
2752 0.000976049
2768 0.000894859
2784 0.000817198
2800 0.000743068
2816 0.000672468
2832 0.000605397
2848 0.000541857
2864 0.000481847
2880 0.000425367
2896 0.000372417
2912 0.000322996
2928 0.000277106
2944 0.000234746
2960 0.000195916
2976 0.000160616
2992 0.000128846
3008 0.000100605
3024 7.58953e-05
3040 5.47152e-05
3056 3.70651e-05
3072 2.29451e-05
3088 1.2355e-05
3104 5.29502e-06
3120 0
3136 0
3152 0
3168 0
3184 0
3200 0
3216 0
3232 0
3248 0
3264 0
3280 0
3296 0
3312 0
3328 0
3344 0
3360 0
3376 0
3392 0
3408 0
3424 0
3440 0
3456 0
3472 0
3488 0
3504 0
3520 0
3536 0
3552 0
3568 0
3584 0
3600 0
3616 0
3632 0
3648 0
3664 0
3680 0
3696 0
3712 0
3728 0
3744 0
3760 0
3776 0
3792 0
3808 0
3824 0
3840 0
3856 0
3872 0
3888 0
3904 0
3920 0
3936 0
3952 0
3968 0
3984 0
4000 0
4016 0
4032 0
4048 0
4064 0
4080 0
4096 0
4112 -3.53001e-06
4128 -0.165711
4144 0.00288048
4160 0.00296699
4176 0.00305521
4192 0.00314525
4208 0.00323702
4224 0.00333057
4240 0.00342587
4256 0.00352296
4272 0.00362179
4288 0.0037224
4304 0.00382477
4320 0.00393067
4336 0.00404011
4352 0.00415306
4368 0.0104259
4384 0.00405069
4400 0.00394832
4416 0.00384948
4432 0.00374711
4448 0.00363415
4464 0.00351059
4480 0.00337646
4496 0.00323173
4512 0.0030764
4528 0.0029105
4544 0.00273399
4560 0.00255397
4576 0.00237746
4592 0.0022045
4608 0.00203506
4624 0.00186914
4640 0.00170676
4656 0.00154791
4672 0.00139259
4688 0.0012408
4704 0.00109254
4720 0.000946045
4736 0.000804842
4752 0.000663642
4768 0.000522442
4784 0.000381242
4800 0.000240043
4816 9.88394e-05
4832 -4.05945e-05
4848 -0.000178266
4864 -0.000314172
4880 -0.000448313
4896 -0.000580687
4912 -0.000748362
4928 -0.000889562
4944 -0.00102371
4960 -0.00114372
4976 -0.00124963
4992 -0.0013414
5008 -0.00141907
5024 -0.00148261
5040 -0.00153203
5056 -0.00156733
5072 -0.00159556
5088 -0.00162381
5104 -0.00165205
5120 -0.00168028
5136 -0.00301463
5152 -0.00154085
5168 0.00031241
5184 0.000418305
5200 0.000515379
5216 0.000603639
5232 0.000683054
5248 0.000753656
5264 0.000815436
5280 0.00086838
5296 0.00091251
5312 0.000947811
5328 0.000974283
5344 0.000991933
5360 0.00100076
5376 0.00100076
5392 0.000991933
5408 0.000974283
5424 0.000947811
5440 0.000912506
5456 0.000873681
5472 0.000838377
5488 0.000806607
5504 0.00077837
5520 0.00075366
5536 0.000732478
5552 0.000714827
5568 0.000700708
5584 0.000690117
5600 0.000683054
5616 0.00067953
5632 0.000679526
5648 -0.00289814
5664 0.000924863
5680 0.00105724
5696 0.00119314
5712 0.00132552
5728 0.00144731
5744 0.0015585
5760 0.00165911
