P W
0 0
16 0
32 0
48 0
64 0.162857
80 0.166414
96 0.167159
112 0.167186
128 0.167186
144 0.167186
160 0.167188
176 0.167617
192 0.170037
208 0
224 0
240 0
256 0
272 0
288 0
304 0
320 0
336 0
352 0
368 0
384 0
400 0
416 0
432 0
448 0
464 0
480 0
496 0
512 0
528 0
544 0
560 0
576 0
592 0
608 0
624 0
640 0
656 0
672 0
688 0
704 0
720 0
736 0
752 0
768 0
784 0
800 0
816 0
832 0.341839
848 0.340612
864 0
880 0
896 0
912 0
928 0
944 0
960 0
976 0
992 1.66648e-05
1008 0.00015216
1024 0.00145695
1040 0.00110104
1056 0.108551
1072 0.164254
1088 0.243732
1104 0.504909
1120 0.162013
1136 0.386233
1152 0.402517
1168 0.309416
1184 0
1200 0
1216 0.0655512
1232 0.167272
1248 0.0363075
1264 0.0981936
1280 0.13346
1296 0.136774
1312 0.131904
1328 0.0370969
1344 0
1360 0
1376 0
1392 0.00105609
1408 0.131617
1424 0.0370254
1440 0.0434928
1456 0.147441
1472 0.0609103
1488 0
1504 0.00093086
1520 0.100442
1536 0.163085
1552 0
1568 0
1584 0
1600 0
1616 0
1632 0
1648 0
1664 0
1680 0
1696 0
1712 0
1728 0
1744 0
1760 0
1776 0
1792 0
1808 0
1824 0
1840 0
1856 0
1872 0
1888 0
1904 0
1920 0
1936 0
1952 0
1968 0
1984 0
2000 0
2016 0
2032 0
2048 0
2064 0
2080 0
2096 0
2112 0
2128 0
2144 0
2160 0
2176 0
2192 0
2208 0
2224 0
2240 0
2256 0
2272 0
2288 0
2304 0
2320 0
2336 0
2352 0
2368 0
2384 0
2400 0
2416 0
2432 0.00174943
2448 0.234358
2464 0.12585
2480 0.259715
2496 0.0766025
2512 0
2528 0
2544 0
2560 0
2576 0
2592 0
2608 0
2624 0
2640 0
2656 0
2672 0
2688 0
2704 0
2720 0
2736 0
2752 0
2768 0
2784 0
2800 0
2816 0
2832 0
2848 0
2864 0
2880 0
2896 0
2912 0
2928 0
2944 0
2960 0
2976 0
2992 0
3008 0
3024 0
3040 0
3056 0
3072 0
3088 0
3104 0
3120 0
3136 0
3152 0
3168 0
3184 0
3200 0
3216 0
3232 0
3248 0
3264 0
3280 0
3296 0
3312 0
3328 0
3344 0
3360 0
3376 0
