P W
0 0
16 0
32 -0.000162032
48 -0.00538647
64 -0.00424647
80 -0.0038541
96 0.0110946
112 -0.00226349
128 -0.00376803
144 -0.00531036
160 0.0260806
176 -3.03984e-06
192 -0.000145823
208 -0.00015521
224 0.000112534
240 -0.0330653
256 0.00543135
272 0.0138542
288 0.00229177
304 0.00740814
320 -0.000460804
336 0.00382891
352 0.00538647
368 0.00448732
384 0.000172317
400 -0.00139722
416 0.000488251
432 -0.000542536
448 0.000533313
464 0.00427131
480 0.00826344
496 -0.00331096
512 0.0147742
528 0.00164855
544 0.00289038
560 0.00999998
576 0.00546399
592 -0.00121808
608 -0.00350446
624 0.000189856
640 0.00316681
656 -0.00889008
672 -0.0128055
688 -0.000470072
704 0.000883192
720 0.0121137
736 -0.00626388
752 0.0133237
768 0.0042789
784 -0.000806466
800 -0.00601074
816 -0.009799
832 0.00341696
848 0.00305945
864 0.0169425
880 0
896 -0.044523
912 -0.00629669
928 0.0327149
944 -0.00167465
960 -0.00069207
976 -0.000112385
992 0
1008 0
1024 -0.00438827
1040 -0.00154889
1056 0.000286818
1072 0.00628138
1088 0
1104 0
1120 -0.0238857
1136 0.000174522
1152 0.023629
1168 0
1184 -0.0249876
1200 -0.0044744
1216 0.0331469
1232 0.00159964
1248 0.00280589
1264 0.00361028
1280 -0.0229095
1296 0.0118598
1312 -0.00390655
1328 -0.015782
1344 0.0193616
1360 -0.00399375
1376 -0.00256783
1392 -0.00123096
1408 -0.000377595
1424 -3.18885e-05
1440 -0.0281746
1456 0.00677937
1472 0.00529802
1488 0.00339723
1504 0.00178707
1520 0.00069207
1536 0.000112355
1552 -2.98023e-06
1568 -0.00014925
1584 -0.000386596
1600 -0.000765711
1616 0.00926295
1632 0.00372034
1648 0.00340354
1664 -0.00124581
1680 0.00673512
1696 0.00389607
1712 -0.00299871
1728 -0.002318
1744 -0.00430471
1760 -0.00140132
1776 0.0032979
1792 0.00374064
1808 0.00441007
1824 -0.00348359
1840 -0.00652364
1856 -0.00850123
1872 0.00167471
1888 0.00152344
1904 0.0013651
1920 0.00170274
1936 0.00299934
1952 -0.000415944
1968 -0.00679693
1984 0.0140963
2000 0.00147907
2016 -0.00729038
2032 -0.00337529
2048 -0.00235489
2064 -0.00200573
2080 -0.00178033
2096 -0.00160289
2112 -0.00179309
2128 0.00582972
2144 0.00275016
2160 0.00191164
2176 0.0050357
2192 -0.00140548
2208 -0.017166
2224 0.00625032
2240 -0.00063014
2256 0.00107235
2272 0.000526339
2288 0.00656548
2304 0.00264078
2320 -0.00205836
2336 -0.00254673
2352 -0.00165081
2368 -0.000298172
2384 0.00154954
2400 0.00346553
2416 0.00558227
2432 0.00570321
2448 -0.00202069
2464 -0.000409782
2480 0.0008073
2496 -0.00204886
2512 0.000339508
2528 0.00278914
2544 0.00134692
2560 -0.000612564
2576 0.00449378
2592 0.00811599
2608 -0.0130021
2624 -0.00135477
2640 -0.000766948
2656 0.00015533
2672 0.00098002
2688 0.00151113
2704 0.00201029
