P W
0 0
16 0
32 0
48 -0
64 -0
80 -0
96 -0
112 0
128 0
144 0
160 0
176 0
192 0
208 0
224 0
240 -0
256 -0
272 -0
288 0
304 0
320 0
336 0
352 -9.35888e-06
368 0
384 0
400 -0
416 6.3276e-06
432 -0
448 -0
464 0
480 0
496 -6.51594e-05
512 5.42771e-05
528 2.1788e-05
544 4.45622e-05
560 -0.000229154
576 -0
592 -0
608 -0
624 -0
640 -0
656 0
672 0
688 0
704 0
720 0
736 0
752 0
768 0
784 0
800 0
816 0
832 0
848 0
864 0
880 0
896 0
912 0
928 -0
944 -0
960 -0
976 0
992 0
1008 0
1024 0
1040 -0
1056 0
1072 7.45277e-05
1088 -0
1104 -0
1120 -0
1136 0
1152 0
1168 0
1184 0
1200 0
1216 0
1232 -0.000490912
1248 0
1264 2.63039e-05
1280 3.39021e-06
1296 2.2657e-05
1312 -0
1328 -0.000777098
1344 -0
1360 -0
1376 -0
1392 -0
1408 -0
1424 -0
1440 0
1456 0
1472 0
1488 0
1504 -0
1520 0
1536 0
1552 0
1568 0
1584 0
1600 -0
1616 0
1632 0
1648 0
1664 0.000204587
1680 -0
1696 -0
1712 -0
1728 -0
1744 0
1760 0
1776 -0
1792 -0
1808 0
1824 0
1840 0
1856 0
1872 0.000163937
1888 0.000378974
1904 -0
1920 -0
1936 -0
1952 0
1968 0
1984 0
2000 0
2016 -0
2032 -0
2048 0
2064 0
2080 0
2096 0
2112 0
2128 0.000145351
2144 0.000621566
2160 0
2176 -0
2192 -0
2208 -0
2224 0
2240 0
2256 -0
2272 -0
2288 -0
2304 -0
2320 -0
2336 0
2352 0
2368 -0.000142851
2384 2.88986e-05
2400 2.52416e-05
2416 -0
2432 -0.000661519
2448 -0
2464 -0
2480 0
2496 0
2512 0
2528 0
2544 0
2560 -0
2576 0
2592 0
2608 0
2624 0.000161435
2640 0.00064668
2656 -0
2672 -0
2688 0
2704 0
2720 0
2736 0
2752 0
2768 -0.00042496
2784 0
2800 2.72582e-05
2816 2.31566e-05
2832 -0
2848 -6.89056e-05
2864 3.54364e-06
2880 2.64045e-05
2896 1.84852e-05
2912 5.52103e-05
2928 -9.3433e-05
2944 -0
2960 -0
2976 -0
2992 0
3008 0
3024 -1.19738e-05
3040 4.79321e-06
3056 -8.74442e-07
3072 3.62675e-05
3088 -8.21668e-05
3104 -0
3120 -0
3136 -0
3152 -0
3168 -0
3184 0
3200 0
3216 0
3232 -0
3248 -0
3264 -0
3280 -0
3296 0
3312 -0
3328 0
3344 0
3360 0
3376 -0
3392 0
3408 0
3424 0
3440 0
3456 0
3472 0.000396855
3488 0
3504 0
3520 -0
3536 0.000270587
3552 -0
3568 -0
3584 0
3600 0
3616 0
3632 0
3648 0
3664 0
3680 0
3696 0
3712 0
3728 0
3744 0
3760 0
3776 0
3792 0
3808 0
