P W
0 0
16 0
32 0
48 0.497482
64 0.653144
80 0.667412
96 0.670399
112 0.670508
128 0.670508
144 0.670508
160 0.670508
176 0.670508
192 0.670508
208 0.670508
224 0.670508
240 0.670508
256 0.670508
272 0.670508
288 0.670508
304 0.670508
320 0.670508
336 0.670508
352 0.670508
368 0.670508
384 0.670508
400 0.670508
416 0.670508
432 0.670508
448 0.670508
464 0.670514
480 0.671713
496 0.636547
512 0.391782
528 0.26143
544 0.225187
560 0.210078
576 0.249976
592 0.0285665
608 0.402589
624 0.551074
640 0.68871
656 0.681814
672 0.668462
688 0.649285
704 0.618369
720 0.568345
736 0.496883
752 0.422435
768 0.414363
784 0.39619
800 0.439765
816 0.441364
832 0.424468
848 0.460916
864 0.452645
880 0.427875
896 0.467085
912 0.473713
928 0.473954
944 0.54818
960 0.600729
976 0.634871
992 0.65624
1008 0.667521
1024 0.670399
1040 0.670508
1056 0.670508
1072 0.670508
1088 0.670508
1104 0.670508
1120 0.670514
1136 0.671713
1152 0.67708
1168 0.493058
1184 0.323867
1200 0.259562
1216 0.235341
1232 0.224413
1248 0.23577
1264 0.142064
1280 0.0742274
1296 0.198983
1312 0.272712
1328 0.387494
1344 0.332671
1360 0.384035
1376 0.481624
1392 0.601759
1408 0.587197
1424 0.576365
1440 0.579157
1456 0.419106
1472 0.278046
1488 0.233904
1504 0.223907
1520 0.243485
1536 0.0274778
1552 0.3741
1568 0.49931
1584 0.573104
1600 0.578383
1616 0.602733
1632 0.492567
1648 0.359128
1664 0.223907
1680 0.218628
1696 0.263379
1712 0.28072
1728 0.347715
1744 0.490137
1760 0.565064
1776 0.540199
1792 0.542693
1808 0.558478
1824 0.472499
1840 0.333245
1856 0.334199
1872 0.345482
1888 0.494942
1904 0.653935
1920 0.691029
1936 0.683514
1952 0.674936
1968 0.670929
1984 0.670508
2000 0.670508
2016 0.670508
2032 0.670508
2048 0.670508
2064 0.670508
2080 0.670508
2096 0.670508
2112 0.670508
2128 0.670508
2144 0.670514
2160 0.671713
2176 0.542053
2192 0.558185
2208 0.447436
2224 0.326392
2240 0.259892
2256 0.261838
2272 0.245354
2288 0.381421
2304 0.511837
2320 0.537145
2336 0.517589
2352 0.502213
2368 0.497932
2384 0.457092
2400 0.275411
2416 0.205343
2432 0.225981
2448 0.301496
2464 0.34986
2480 0.30549
2496 0.539945
2512 0.688157
2528 0.677777
2544 0.498467
2560 0.696448
2576 0.627064
2592 0.161151
2608 0.380508
2624 0.0716696
2640 0.337344
2656 0.416761
2672 0.589998
2688 0.574037
2704 0.500414
2720 0.422809
2736 0.413834
2752 0.39066
2768 0.424757
2784 0.415824
2800 0.383921
2816 0.399987
2832 0.393733
2848 0.445724
2864 0.464167
2880 0.484245
2896 0.592371
2912 0.705854
2928 0.838805
2944 0.962322
2960 0.62631
2976 0.629189
2992 0.629297
3008 0.629297
3024 0.629297
3040 0.629297
3056 0.629297
3072 0.664541
3088 0.950449
3104 0.811107
3120 0.696572
3136 0.597499
3152 0.498463
3168 0.407911
3184 0.389352
3200 0.361704
3216 0.399904
3232 0.428531
3248 0.523933
3264 0.589346
3280 0.633192
3296 0.660975
3312 0.562713
3328 0.55978
3344 0.358667
3360 0.215156
3376 0.276506
3392 0.433038
3408 0.610906
3424 0.666622
3440 0.675716
3456 0.673509
3472 0.664292
3488 0.64285
3504 0.596771
3520 0.515676
3536 0.31121
3552 0.114403
3568 0.015953
3584 0.000149261
3600 0.00751083
3616 0.0778228
3632 0.236919
3648 0.442765
3664 0.550826
3680 0.617617
3696 0.653143
3712 0.666889
3728 0.665544
3744 0.656012
3760 0.555602
3776 0.401364
3792 0.281648
3808 0.238637
3824 0.253654
3840 0.159459
3856 0.142282
3872 0.200372
3888 0.275031
3904 0.298229
3920 0.213235
3936 0.133733
3952 0.192808
3968 0.146889
3984 0.254818
4000 0.258613
4016 0.351058
4032 0.551677
4048 0.674522
4064 0.670882
4080 0.670508
4096 0.670508
4112 0.670508
4128 0.670508
4144 0.670508
4160 0.670508
4176 0.670508
4192 0.670508
4208 0.670508
4224 0.670508
4240 0.670508
4256 0.670508
4272 0.670508
4288 0.670508
4304 0.670514
4320 0.671713
4336 0.677087
4352 0.68715
4368 0.600388
4384 0.633548
4400 0.515305
4416 0.455539
4432 0.433589
4448 0.402433
4464 0.341601
4480 0.242095
4496 0.0223721
4512 0.258957
4528 0.307349
4544 0.462073
4560 0.545454
4576 0.534535
4592 0.516097
4608 0.481793
4624 0.419852
4640 0.293602
4656 0.113556
4672 0.0812668
4688 0.197345
4704 0.24675
4720 0.206797
4736 0.071109
4752 0.0520859
4768 0.190547
4784 0.43775
4800 0.528905
4816 0.578019
4832 0.421733
4848 0.279277
4864 0.233914
4880 0.13078
4896 0.0811017
4912 0.193688
4928 0.277929
4944 0.449355
4960 0.534987
4976 0.530534
4992 0.495191
5008 0.422814
5024 0.311766
5040 0.120211
5056 0.0178927
5072 0.0140913
5088 0.0591118
5104 0.107022
5120 0.139151
5136 0.0595007
5152 0.0132297
5168 0.0384452
5184 0.179771
5200 0.406381
5216 0.550934
5232 0.617617
5248 0.653144
5264 0.667412
5280 0.670399
5296 0.670508
5312 0.670508
5328 0.670508
5344 0.670508
5360 0.670508
5376 0.670508
5392 0.670508
5408 0.670514
5424 0.671713
5440 0.597587
5456 0.610611
5472 0.434846
5488 0.319195
5504 0.251131
5520 0.269669
5536 0.112189
5552 0.443098
5568 0.592774
5584 0.584773
5600 0.57088
5616 0.566106
5632 0.575788
5648 0.589192
5664 0.472506
5680 0.333773
5696 0.305373
5712 0.307415
5728 0.28181
5744 0.258821
5760 0.251637
5776 0.243807
5792 0.23179
5808 0.216413
5824 0.210555
5840 0.271982
5856 0.237217
5872 0.24595
5888 0.244981
5904 0.212553
5920 0.132978
5936 0.0743494
5952 0.05393
5968 0.0921129
5984 0.218232
6000 0.238126
6016 0.248365
6032 0
6048 0
6064 0
6080 0
6096 0
6112 0
6128 0
6144 0
6160 0
6176 0
6192 0
6208 0
6224 0
