P W
0 0
16 0
32 0
48 0
64 0
80 0
96 0
112 0
128 0
144 0
160 0
176 0
192 0
208 0
224 0
240 0.0156499
256 0
272 0
288 0
304 0
320 0
336 0
352 0.0125079
368 0
384 0
400 0.0125032
416 0
432 0
448 0
464 0
480 0
496 0.00999308
512 0
528 0
544 0
560 0
576 -0.0100311
592 0.00116303
608 0
624 -0.0200263
640 0
656 0
672 0
688 0
704 0
720 -0.00263268
736 -0.031517
752 0
768 -0.0184617
784 0
800 0.0488514
816 -0.0498744
832 0
848 0.0488514
864 -0.0498744
880 0
896 0.0488514
912 -0.0498744
928 0
944 0.0155874
960 0
976 0
992 0
1008 0
1024 0
1040 0
1056 0
1072 0
1088 0
1104 0
1120 0.0125197
1136 0.0125174
1152 0
1168 0.0041717
1184 0
1200 0
1216 0
1232 -0.0033437
1248 0.0033437
1264 0
1280 0
1296 0
1312 0
1328 -0.00668739
1344 0.00794128
1360 0
1376 0
1392 0
1408 0
1424 0
1440 0
1456 0
1472 0
1488 0
1504 0
1520 -0.00961313
1536 0.00140787
1552 0
1568 0
1584 0
1600 0
1616 0
1632 0
1648 0
1664 0
1680 -0.00794128
1696 0.00794128
1712 0
1728 0
1744 0
1760 0
1776 0
1792 0
1808 0
1824 0
1840 0
1856 -0.00668739
1872 0.00794128
1888 -0.0499606
1904 0
1920 0
1936 0
1952 0
1968 0
1984 0
2000 0
2016 0
2032 0
2048 0
2064 0
2080 0
2096 0
2112 0
2128 0
2144 0
2160 0
2176 0
2192 0
2208 0.0499606
2224 0
2240 0
2256 -0.00668739
2272 0.00292574
2288 0
2304 -0.0300576
2320 0
2336 0
2352 0
2368 0
2384 0.0300576
2400 0
2416 0
2432 0
2448 0
2464 0
2480 0
2496 0
2512 0
2528 0
2544 0
2560 0
2576 0
2592 0
2608 0
2624 0
2640 0
2656 0
2672 0
2688 -0.00430153
2704 -0.0498744
2720 0
2736 -0.0184617
2752 0
2768 0.0488514
2784 -0.0498744
2800 0
2816 -0.0184617
2832 0
2848 0.0488514
2864 -0.0498744
2880 0
2896 0.0531529
2912 0
2928 0
2944 0
2960 0
2976 0
2992 0
3008 0
3024 0
3040 0
3056 0
3072 0
3088 0
3104 0
3120 0
3136 -0.00430153
3152 -0.0498744
3168 0
3184 -0.0184617
3200 0
3216 -0.0184617
3232 0
3248 0.0331127
3264 0
3280 0
3296 0
3312 0.0133618
3328 0.0133584
3344 0
3360 0
3376 0
3392 0
3408 0
3424 0
3440 0
3456 0
3472 0
3488 0
3504 0
3520 -0.00430153
3536 -0.0178106
3552 0.00446427
3568 0.00446427
3584 -0.00611511
3600 -0.00446427
3616 -0.00446427
3632 0
3648 0.0255945
3664 0
3680 0
3696 0
3712 0
3728 0
3744 0.0125265
3760 0.0100194
3776 -0.0929362
3792 0.00446427
3808 0.00446421
3824 0.00134802
3840 0.00446433
3856 -0.00446427
3872 0
3888 0.0148611
3904 -0.00504673
3920 0.0044643
3936 0.00446424
3952 -0.00446427
3968 0.00199693
3984 0
4000 0
4016 0
4032 -0.0625
4048 0
4064 0
4080 0
4096 0
4112 0
4128 0
4144 0
4160 0
4176 0
4192 0
4208 0
4224 0
4240 0
4256 0
4272 0
4288 0
4304 0
4320 0
4336 0
4352 0
4368 0
4384 0
4400 0
4416 0
4432 0
4448 0
4464 0
4480 0
4496 0
4512 0
4528 0
4544 -0.0125239
4560 0
4576 0
4592 0
4608 0
4624 -0.0337612
4640 -0.00337416
4656 0.00446433
4672 -0.00446427
4688 0
4704 0.0307617
4720 0.00446427
4736 0.00446433
4752 -0.00446427
4768 -0.00446433
4784 0.0531529
4800 0
4816 0
4832 0
4848 0
4864 0
4880 0
4896 0
4912 0
4928 0
4944 0
4960 0
4976 0
4992 0
5008 -0.0337612
5024 -0.0178106
5040 0.00446427
5056 0.00446427
5072 -0.00446433
5088 -0.00446421
5104 0
5120 0
5136 0.00446433
5152 0.00446421
5168 -0.00446427
5184 -0.00446439
5200 0.0236261
5216 0
5232 0
5248 0
5264 0
5280 0
5296 0
5312 0.0133535
5328 0
5344 0
5360 0
5376 0
5392 0
5408 0
5424 0.0133365
5440 0
5456 0.0133331
5472 0.0133296
5488 0
5504 0
5520 -0.00668739
5536 0.00181117
5552 0
5568 0
5584 0
5600 0
5616 0
5632 0
5648 0
5664 0
5680 0
5696 -0.0281757
5712 -0.0165114
5728 0
5744 0
5760 0
5776 0.00446433
5792 0.00446427
5808 0.00446427
5824 0.00446424
5840 0
5856 0.0044643
5872 0.00292969
5888 0
5904 0
5920 0
5936 0
5952 0
5968 0
5984 0
6000 0
6016 0
6032 0
6048 0
6064 0
6080 0
6096 0
6112 0
6128 0
6144 0
6160 0
6176 0
6192 0
6208 0
6224 0
