P W
0 0
16 0
32 0
48 0.283377
64 0.313292
80 0.320136
96 0.321569
112 0.321621
128 0.321621
144 0.321621
160 0.321367
176 0.318717
192 0.312094
208 0.302674
224 0.292817
240 0.393787
256 0.401327
272 0.364065
288 0.308583
304 0.257721
320 0.206291
336 0.169183
352 0.147765
368 0.136083
384 0.0908427
400 0.0686986
416 0.0428992
432 0.038428
448 0.0275935
464 0.0383688
480 0.0873953
496 0.094892
512 0.121504
528 0.00194124
544 0.303322
560 0.361469
576 0.461819
592 0.466844
608 0.349123
624 0.296707
640 0.328153
656 0.366872
672 0.41248
688 0.396056
704 0.088889
720 0.0980044
736 0.169468
752 0.306408
768 0.255883
784 0.259949
800 0.361802
816 0.36822
832 0.326022
848 0.365084
864 0.293843
880 0.245612
896 0.375408
912 0.428696
928 0.341564
944 0.286624
960 0.294474
976 0.292675
992 0.283333
1008 0.403959
1024 0.441142
1040 0.343713
1056 0.289583
1072 0.30458
1088 0.314777
1104 0.320188
1120 0.321569
1136 0.321624
1152 0.322453
1168 0.32768
1184 0.33887
1200 0.351059
1216 0.371714
1232 0.485263
1248 0.285525
1264 0.319385
1280 0.54897
1296 0.378307
1312 0.286442
1328 0.275684
1344 0.274153
1360 0.150508
1376 0.134525
1392 0.0444661
1408 0.0135258
1424 0.000595448
1440 0.000812911
1456 0.015741
1472 0.0254863
1488 0.032208
1504 0.0306228
1520 0.189347
1536 0.299557
1552 0.353703
1568 0.395206
1584 0.408394
1600 0.264019
1616 0.278856
1632 0.412137
1648 0.366936
1664 0.314998
1680 0.194053
1696 0.104694
1712 0.104929
1728 0.116868
1744 0.0404294
1760 0.0719817
1776 0.0756761
1792 0.0577845
1808 0.0243313
1824 0.00385711
1840 4.57214e-05
1856 6.15783e-07
1872 6.15783e-07
1888 0.00160568
1904 0.0294738
1920 0.0413
1936 0.032926
1952 0.0183384
1968 0.00475665
1984 0.00854575
2000 0.0382169
2016 0.0392743
2032 0.0300581
2048 0.0175505
2064 0.000860826
2080 0.00175424
2096 0.0283198
2112 0.0416082
2128 0.22331
2144 0.31536
2160 0.310465
2176 0.294516
2192 0.282524
2208 0.37533
2224 0.365635
2240 0.368914
2256 0.292214
2272 0.217027
2288 0.111714
2304 0.216252
2320 0.257805
2336 0.293059
2352 0.252081
2368 0.195701
2384 0.0794106
2400 0.0132148
2416 0.00134553
2432 0.0157338
2448 0.0973089
2464 0.264584
2480 0.312348
2496 0.129326
2512 0.112983
2528 0.00341925
2544 0.275125
2560 0.367917
2576 0.363129
2592 0.331608
2608 0.219451
2624 0.0992107
2640 0.22331
2656 0.315778
2672 0.311282
2688 0.300515
2704 0.287434
2720 0.277764
2736 0.274103
2752 0.269008
2768 0.273249
2784 0.244656
2800 0.119846
2816 0.0903829
2832 0.040195
2848 0.00719358
2864 0.00558988
2880 0.0546722
2896 0.20769
2912 0.40844
2928 0.410481
2944 0.136433
2960 0.173029
2976 0.0445796
2992 0.0356401
3008 0.0685912
3024 0.0454093
3040 0.0392663
3056 0.0388707
3072 0.0346795
3088 0.177246
3104 0.265243
3120 0.295722
3136 0.303843
3152 0.314422
3168 0.329199
3184 0.300725
3200 0.187993
3216 0.0710828
3232 0.130418
3248 0.0887352
3264 0.0672118
3280 0.0535176
3296 0.0366824
3312 0.0429129
3328 0.0321419
3344 0.0320433
3360 0.0216689
3376 0.0116238
3392 0.00796414
3408 0.0120364
3424 0.0410169
3440 0.180411
3456 0.236063
3472 0
3488 0
3504 0
3520 0
3536 0
3552 0
3568 0
3584 0
3600 0
3616 0
3632 0
3648 0
3664 0
