P W
0 0
16 0
32 0
48 -0.000171924
64 -0
80 -0
96 -0
112 0
128 0
144 0
160 0
176 0
192 0
208 0
224 -4.57931e-06
240 -9.1925e-06
256 -0
272 9.88635e-06
288 5.30771e-06
304 7.27879e-06
320 8.84991e-06
336 3.84305e-06
352 -1.10265e-05
368 -6.6137e-07
384 2.55397e-05
400 -6.7976e-05
416 0.000135465
432 0
448 0
464 -0
480 -0
496 -0
512 -3.70129e-05
528 0.000446949
544 -2.05397e-05
560 -9.86516e-05
576 -0.000121255
592 0
608 -4.09808e-05
624 -0
640 -0
656 -0
672 -0
688 0
704 -0.000111795
720 1.3155e-05
736 2.62551e-05
752 -7.60044e-05
768 -0.00011807
784 -5.0369e-06
800 -8.57453e-05
816 0
832 -1.21752e-05
848 -0
864 -4.70777e-05
880 2.24306e-06
896 -3.25744e-05
912 -0
928 -5.5871e-05
944 -0
960 -0
976 0
992 -5.50561e-06
1008 -6.70715e-05
1024 -0
1040 -5.04628e-05
1056 -0
1072 -0
1088 -0
1104 -0
1120 -0
1136 -0
1152 -0
1168 -0
1184 -0
1200 -0
1216 -0
1232 -0.000154919
1248 -6.39836e-05
1264 -0
1280 0
1296 1.88213e-05
1312 0
1328 -2.06329e-05
1344 3.94529e-05
1360 1.82188e-05
1376 -1.21677e-06
1392 1.05799e-05
1408 9.04434e-06
1424 7.41079e-07
1440 7.61795e-06
1456 -4.31394e-05
1472 -0
1488 -0
1504 6.84027e-05
1520 -0
1536 -0
1552 -0.000188152
1568 -0
1584 0
1600 -0
1616 -0
1632 0
1648 -0.00017156
1664 0
1680 0
1696 0
1712 -0
1728 -0
1744 0
1760 0
1776 4.45792e-05
1792 0
1808 8.01055e-05
1824 0
1840 2.04198e-06
1856 0
1872 0
1888 -0
1904 -0
1920 0
1936 0
1952 0
1968 0
1984 -0
2000 -0
2016 0
2032 0
2048 0
2064 0
2080 -0
2096 -0
2112 3.91124e-05
2128 0.000220742
2144 -0
2160 0
2176 0
2192 -2.23477e-05
2208 -2.36533e-05
2224 -0
2240 -4.81283e-05
2256 -6.0597e-05
2272 -0.000172579
2288 -6.60596e-05
2304 -9.75178e-05
2320 4.63285e-06
2336 -1.80951e-05
2352 2.79974e-05
2368 -8.71249e-06
2384 2.76713e-05
2400 8.43671e-06
2416 -4.14391e-07
2432 1.06018e-05
2448 3.37329e-05
2464 -0
2480 2.02402e-06
2496 3.34443e-06
2512 -1.69131e-05
2528 0.000125083
2544 -0
2560 -0.000115562
2576 0
2592 0
2608 0
2624 0.00031104
2640 0.000220742
2656 -0
2672 0
2688 0
2704 0
2720 0
2736 0
2752 0
2768 -2.1689e-05
2784 4.18668e-05
2800 1.75115e-05
2816 0
2832 1.55353e-05
2848 6.73319e-06
2864 5.06245e-06
2880 2.96871e-05
2896 5.30696e-05
2912 4.2449e-05
2928 2.1678e-05
2944 -1.66871e-06
2960 3.49009e-05
2976 0
2992 0.000113333
3008 0
3024 0
3040 0
3056 -0
3072 -0
3088 -0
3104 -0
3120 -0
3136 -0
3152 -0
3168 -0
3184 0
3200 0.000129377
3216 -9.44822e-05
3232 1.51177e-05
3248 9.54475e-07
3264 1.39863e-06
3280 1.78289e-06
3296 1.24708e-06
3312 -1.5894e-06
3328 -6.31377e-06
3344 0
3360 0
3376 0
3392 -9.50434e-06
3408 -1.92513e-05
3424 0.000193259
3440 -0
3456 -0
3472 0
3488 0
3504 0
3520 0
3536 0
3552 0
3568 0
3584 0
3600 0
3616 0
3632 0
3648 0
3664 0
