P W
0 0
16 0
32 0
48 0.25752
64 0
80 0
96 0
112 0
128 0
144 0
160 0
176 0
192 0
208 0
224 0
240 0
256 0.206016
272 0.618048
288 0.25752
304 0.231768
320 0.412032
336 0
352 0
368 0
384 0
400 0
416 0
432 0
448 0
464 0
480 0.051504
496 0.51504
512 0.463536
528 0.103008
544 0
560 0.017168
576 0.566544
592 0.309024
608 0
624 0
640 0
656 0
672 0
688 0
704 0
720 0
736 0
752 0
768 0
784 0
800 0.721056
816 0.360528
832 0
848 0
864 0.128947
880 0.040296
896 0
912 0.360528
928 0.721056
944 0
960 0
976 0
992 0
1008 0
1024 0
1040 0
1056 0
1072 0.103008
1088 0.872223
1104 0.78932
1120 0.705959
1136 0.622599
1152 0.466813
1168 0.490014
1184 0.641289
1200 0.792565
1216 0.94041
1232 0.94041
1248 0.775969
1264 0.363702
1280 0.360528
1296 0.360528
1312 0.360528
1328 0.360528
1344 0.360528
1360 0.695304
1376 0.334776
1392 0.231768
1408 0.592296
1424 0.566544
1440 0.566544
1456 0.566544
1472 0.566544
1488 0.489288
1504 0.12876
1520 0
1536 0.006438
1552 0.437784
1568 0.566544
1584 0.566544
1600 0.566544
1616 0.566544
1632 0.566544
1648 0.566544
1664 0.566544
1680 0.566544
1696 0.669552
1712 0.309024
1728 0
1744 0
1760 0
1776 0
1792 0
1808 0
1824 0
1840 0
1856 0
1872 0
1888 0
1904 0
1920 0
1936 0
1952 0.0901444
1968 0.216488
1984 0.424617
2000 0.507978
2016 0.591338
2032 0.521437
2048 0.350646
2064 0.773689
2080 0.85705
2096 0.97754
2112 0.342983
2128 0.342983
2144 0.342983
2160 0.342983
2176 0.342983
2192 0.342983
2208 0
2224 0
2240 0
2256 0
2272 0
2288 0
2304 0
2320 0
2336 0
2352 0
2368 0
2384 0
2400 0
2416 0
2432 0
2448 0
2464 0
2480 0
2496 0
2512 0
2528 0
2544 0
2560 0
2576 0
2592 0
2608 0
2624 0.206016
2640 0.463536
2656 0.721056
2672 0.360528
2688 0
2704 0.128947
2720 0.0338112
2736 0.669552
2752 0.103008
2768 0
2784 0
2800 0
2816 0
2832 0
2848 0
2864 0
2880 0
2896 0
2912 0
2928 0
2944 0
2960 0
2976 0
2992 0
3008 0
3024 0
3040 0
3056 0
3072 0
3088 0.309024
3104 0.566544
3120 0.35092
3136 0.716379
3152 0.633019
3168 0.575708
3184 0.643439
3200 0.643439
3216 0.591338
3232 0.502768
3248 0.419407
3264 0.268317
3280 0.163329
3296 0.216488
3312 0.424617
3328 0.507978
3344 0.591338
3360 0.674699
3376 0.753908
3392 0.360528
3408 0.618048
3424 0.618048
3440 0
3456 0
3472 0
3488 0
3504 0
3520 0
3536 0
3552 0
3568 0
3584 0
3600 0
3616 0
3632 0
3648 0
3664 0
